temps;TPC;TV;APEG
temps;Consigne tangage PC;Gyromètre;Angle Pivot
0003.464;-0051;-0317; 01402
0003.475;-0051;-0339; 01162
0003.494;-0051;-0355; 00681
0003.505;-0051;-0357; 00461
0003.515;-0051;-0367; 00140
0003.526;-0051;-0385;-00120
0003.534;-0051;-0385;-00280
0003.544;-0051;-0401;-00621
0003.555;-0051;-0409;-00921
0003.563;-0051;-0413;-01182
0003.574;-0051;-0429;-01482
0003.584;-0051;-0431;-01742
0003.595;-0051;-0449;-02163
0003.606;-0051;-0455;-02444
0003.614;-0051;-0465;-02664
0003.624;-0051;-0479;-03104
0003.635;-0051;-0483;-03405
0003.643;-0051;-0497;-03705
0003.654;-0051;-0501;-04046
0003.665;-0051;-0515;-04406
0003.675;-0051;-0527;-04867
0003.683;-0051;-0531;-05087
0003.694;-0051;-0543;-05448
0003.704;-0051;-0553;-05888
0003.715;-0051;-0537;-06229
0003.723;-0051;-0231;-06129
0003.734;-0051;-0005;-05929
0003.745;-0051; 0143;-05708
0003.755;-0051; 0217;-05488
0003.766;-0051; 0241;-05308
0003.774;-0051; 0247;-05207
0003.784;-0051; 0241;-05007
0003.795;-0051; 0243;-04847
0003.803;-0051; 0217;-04747
0003.814;-0051; 0217;-04607
0003.832;-0051; 0183;-04406
0003.846;-0051; 0167;-04266
0003.854;-0051; 0149;-04246
0003.864;-0051; 0135;-04126
0003.878;-0051; 0111;-04086
0003.883;-0051; 0103;-04026
0003.894;-0051; 0087;-03986
0003.905;-0051; 0067;-03966
0003.915;-0051; 0053;-03946
0003.926;-0051; 0037;-03926
0003.934;-0051; 0031;-03926
0003.944;-0051; 0011;-03946
0003.955;-0051;-0007;-03966
0003.966;-0051;-0017;-04006
0003.974;-0051;-0035;-04006
0003.985;-0051;-0043;-04066
0003.995;-0051;-0061;-04126
0004.006;-0051;-0077;-04206
0004.014;-0051;-0083;-04246
0004.024;-0051;-0101;-04326
0004.035;-0051;-0115;-04426
0004.043;-0051;-0129;-04506
0004.054;-0051;-0143;-04627
0004.065;-0051;-0151;-04727
0004.072;-0051;-0167;-04867
0004.102;-0051;-0199;-05227
0004.115;-0051;-0213;-05428
0004.123;-0051;-0229;-05608
0004.134;-0051;-0235;-05728
0004.145;-0051;-0251;-05929
0004.155;-0051;-0259;-06149
0004.163;-0051;-0193;-06189
0004.174;-0051;-0039;-06069
0004.184;-0051; 0061;-05949
0004.195;-0051; 0079;-05908
0004.203;-0051; 0101;-05808
0004.214;-0051; 0091;-05748
0004.225;-0051; 0091;-05708
0004.235;-0051; 0079;-05648
0004.243;-0051; 0061;-05648
0004.254;-0051; 0053;-05648
0004.267;-0051; 0029;-05628
0004.273;-0051; 0029;-05608
0004.283;-0051; 0005;-05648
0004.294;-0051;-0013;-05628
0004.305;-0051;-0019;-05668
0004.315;-0051;-0045;-05728
0004.323;-0051;-0047;-05768
0004.334;-0051;-0063;-05808
0004.342;-0051;-0073;-05868
0004.355;-0051;-0087;-05969
0004.363;-0051;-0101;-06029
0004.374;-0051;-0109;-06109
0004.382;-0051;-0101;-06149
0004.395;-0051; 0005;-06069
0004.403;-0051; 0027;-06049
0004.414;-0051; 0037;-06009
0004.424;-0051; 0041;-06009
0004.435;-0051; 0029;-05969
0004.443;-0051; 0019;-05989
0004.454;-0051; 0007;-06009
0004.467;-0051;-0013;-06009
0004.473;-0051;-0015;-05989
0004.483;-0051;-0033;-06069
0004.494;-0051;-0037;-06089
0004.502;-0051;-0045;-06129
0004.531;-0051; 0017;-06069
0004.542;-0051; 0015;-06089
0004.553;-0051; 0001;-06069
0004.563;-0051;-0007;-06089
0004.574;-0051;-0013;-06089
0004.582;-0051;-0011;-06089
0004.593;-0051; 0001;-06089
0004.603;-0051; 0013;-06109
0004.614;-0051; 0011;-06089
0004.622;-0051; 0009;-06069
0004.633;-0051;-0001;-06089
0004.643;-0051;-0007;-06129
0004.654;-0051;-0003;-06129
0004.662;-0051; 0005;-06089
0004.673;-0051; 0011;-06069
0004.683;-0051; 0007;-06089
0004.694;-0051; 0001;-06089
0004.705;-0051; 0001;-06089
0004.713;-0051;-0001;-06129
0004.723;-0051; 0005;-06109
0004.734;-0051; 0009;-06109
0004.742;-0051; 0007;-06089
0004.755;-0051; 0003;-06089
0004.763;-0051; 0001;-06109
0004.774;-0051; 0003;-06089
0004.785;-0051; 0005;-06109
0004.792;-0051; 0007;-06089
0004.803;-0051; 0005;-06109
0004.814;-0051; 0005;-06089
0004.825;-0051; 0001;-06089
0004.833;-0051; 0005;-06089
0004.843;-0051; 0005;-06109
0004.854;-0051; 0007;-06089
0004.865;-0051; 0005;-06109
0004.873;-0051; 0003;-06109
0004.883;-0051; 0005;-06109
0004.894;-0051; 0005;-06109
0004.905;-0051; 0003;-06109
0004.915;-0051; 0009;-06089
0004.923;-0051; 0007;-06089
0004.934;-0051; 0005;-06089
0004.945;-0051; 0003;-06109
0004.953;-0051; 0001;-06089
0004.963;-0051; 0001;-06109
0004.971;-0051; 0005;-06109
0005.001;-0051; 0003;-06129
0005.011;-0051; 0005;-06089
0005.022;-0051; 0005;-06109
0005.033;-0051; 0005;-06089
0005.043;-0051; 0005;-06109
0005.054;-0051; 0007;-06089
0005.062;-0051; 0005;-06069
0005.073;-0051; 0003;-06109
0005.083;-0051; 0005;-06089
0005.091;-0051; 0005;-06109
0005.102;-0051; 0007;-06089
0005.113;-0051; 0005;-06069
0005.123;-0051; 0003;-06089
0005.131;-0051; 0007;-06089
0005.142;-0051; 0003;-06089
0005.153;-0051; 0005;-06089
0005.163;-0051; 0007;-06089
0005.171;-0051; 0005;-06109
0005.182;-0051; 0005;-06089
0005.193;-0051; 0005;-06109
0005.203;-0051; 0005;-06089
0005.211;-0051; 0005;-06109
0005.222;-0051; 0007;-06089
0005.233;-0051; 0005;-06089
0005.251;-0051; 0005;-06129
0005.262;-0051; 0005;-06089
0005.273;-0051; 0007;-06069
0005.283;-0051; 0005;-06109
0005.291;-0051; 0005;-06109
0005.302;-0051; 0005;-06089
0005.313;-0051; 0005;-06109
0005.321;-0051; 0005;-06089
0005.334;-0051; 0005;-06089
0005.342;-0051; 0005;-06109
0005.353;-0051; 0005;-06089
0005.363;-0051; 0007;-06089
0005.371;-0051; 0005;-06089
0005.382;-0051; 0007;-06089
0005.393;-0051; 0003;-06129
0005.403;-0051; 0005;-06109
0005.430;-0051; 0005;-06089
0005.441;-0051; 0005;-06129
0005.451;-0051; 0005;-06109
0005.462;-0051; 0007;-06069
0005.473;-0051; 0005;-06109
0005.483;-0051; 0007;-06089
0005.491;-0051; 0005;-06089
0005.502;-0051; 0001;-06089
0005.513;-0051; 0007;-06109
0005.521;-0051; 0005;-06089
0005.531;-0051; 0005;-06089
0005.542;-0051; 0005;-06089
0005.553;-0051; 0005;-06089
0005.561;-0051; 0005;-06069
0005.571;-0051; 0007;-06089
0005.582;-0051; 0007;-06089
0005.593;-0051; 0005;-06109
0005.601;-0051; 0007;-06089
0005.611;-0051; 0005;-06089
0005.622;-0051; 0007;-06089
0005.641;-0051; 0005;-06089
0005.651;-0051; 0007;-06069
0005.670;-0051; 0005;-06089
0005.683;-0051; 0005;-06089
0005.691;-0051; 0003;-06109
0005.702;-0051; 0007;-06069
0005.710;-0051; 0005;-06109
0005.723;-0051; 0003;-06089
0005.731;-0051; 0005;-06109
0005.742;-0051; 0003;-06089
0005.750;-0051; 0003;-06109
0005.763;-0051; 0005;-06109
0005.771;-0051; 0005;-06069
0005.782;-0051; 0007;-06089
0005.793;-0051; 0005;-06109
0005.801;-0051; 0005;-06089
0005.811;-0051; 0007;-06089
0005.822;-0051; 0005;-06109
0005.830;-0051; 0007;-06089
0005.841;-0051; 0007;-06089
0005.851;-0051; 0001;-06109
0005.862;-0051; 0007;-06069
0005.870;-0051; 0005;-06089
